date,flow (cfs)
1/14/1975,8101.511968
1/15/1975,9185.867654
1/16/1975,9973.139591
1/17/1975,10611.86965
1/18/1975,11458.55834
1/19/1975,12884.56034
1/20/1975,14964.14658
1/21/1975,17043.73283
1/22/1975,18826.23533
1/23/1975,19866.02845
1/24/1975,20460.19595
1/25/1975,20757.2797
1/26/1975,20608.73782
1/27/1975,19866.02845
1/28/1975,18826.23533
1/29/1975,17637.90033
1/30/1975,16746.64908
1/31/1975,16301.02346
2/1/1975,16301.02346
2/2/1975,16449.56533
2/3/1975,16598.10721
2/4/1975,16301.02346
2/5/1975,15558.31408
2/6/1975,14295.70815
2/7/1975,12587.47659
2/8/1975,11235.74553
2/9/1975,10597.01546
2/10/1975,10641.57803
2/11/1975,11131.76621
2/12/1975,11770.49628
2/13/1975,12364.66377
2/14/1975,12721.16427
2/15/1975,12691.4559
2/16/1975,12216.1219
2/17/1975,11206.03715
2/18/1975,9735.472591
2/19/1975,9052.179967
2/20/1975,9215.576029
2/21/1975,10047.41053
2/22/1975,11102.05784
2/23/1975,12305.24702
2/24/1975,13642.1239
2/25/1975,14622.50027
2/26/1975,14681.91702
2/27/1975,13656.97809
2/28/1975,12082.43421
3/1/1975,10864.39084
3/2/1975,10047.41053
3/3/1975,9349.263717
3/4/1975,8561.99178
3/5/1975,7715.303094
3/6/1975,7076.573032
3/7/1975,6437.842971
3/8/1975,5754.550347
3/9/1975,5115.820285
3/10/1975,4685.048849
3/11/1975,4432.527661
3/12/1975,4269.131599
3/13/1975,4239.423224
3/14/1975,4521.652786
3/15/1975,4982.132598
3/16/1975,5576.300097
3/17/1975,6452.697158
3/18/1975,7537.052844
3/19/1975,9512.659779
3/20/1975,11532.82928
3/21/1975,13241.06084
3/22/1975,15558.31408
3/23/1975,18083.52595
3/24/1975,21202.90532
3/25/1975,26847.49657
3/26/1975,29669.79219
3/27/1975,31749.37843
3/28/1975,31600.83656
3/29/1975,31006.66906
3/30/1975,28035.83156
3/31/1975,26401.87094
4/1/1975,23431.03345
4/2/1975,20163.1122
4/3/1975,15855.39783
4/4/1975,12914.26871
4/5/1975,11161.47459
4/6/1975,9705.764216
4/7/1975,9052.179967
4/8/1975,8695.679468
4/9/1975,8071.803594
4/10/1975,6556.676471
4/11/1975,5620.86266
4/12/1975,4848.444911
4/13/1975,4402.819286
4/14/1975,4209.714849
4/15/1975,4417.673474
4/16/1975,4893.007473
4/17/1975,5427.758222
4/18/1975,5917.946409
4/19/1975,6422.988783
4/20/1975,6824.051845
4/21/1975,6705.218346
4/22/1975,5932.800597
4/23/1975,4818.736536
4/24/1975,3927.485287
4/25/1975,3318.463601
4/26/1975,2991.671476
4/27/1975,2768.858664
4/28/1975,2635.170977
4/29/1975,2546.045852
4/30/1975,2471.774914
5/1/1975,2456.920727
5/2/1975,2575.754227
5/3/1975,2724.296101
5/4/1975,2768.858664
5/5/1975,2739.150289
5/6/1975,2635.170977
5/7/1975,2560.900039
5/8/1975,2501.483289
5/9/1975,2382.649789
5/10/1975,2189.545352
5/11/1975,1966.73254
5/12/1975,1803.336478
5/13/1975,1699.357165
5/14/1975,1639.940416
5/15/1975,1550.815291
5/16/1975,1491.398541
5/17/1975,1491.398541
5/18/1975,1714.211353
5/19/1975,2100.420227
5/20/1975,2412.358164
5/21/1975,2872.837976
5/22/1975,3363.026163
5/23/1975,3853.21435
5/24/1975,3986.902037
5/25/1975,3259.046851
5/26/1975,2382.649789
5/27/1975,1922.169978
5/28/1975,1654.794603
5/29/1975,1565.669478
5/30/1975,1550.815291
5/31/1975,1714.211353
6/1/1975,1996.440915
6/2/1975,2130.128602
6/3/1975,2323.23304
6/4/1975,2338.087227
6/5/1975,2263.81629
6/6/1975,2055.857665
6/7/1975,1758.773915
6/8/1975,1491.398541
6/9/1975,1299.779522
6/10/1975,1170.548091
6/11/1975,1081.422966
6/12/1975,999.7249353
6/13/1975,984.8707478
6/14/1975,1076.96671
6/15/1975,1142.325135
6/16/1975,1134.898041
6/17/1975,989.327004
6/18/1975,900.2018792
6/19/1975,912.0852291
6/20/1975,811.0767543
6/21/1975,753.1454231
6/22/1975,710.0682794
6/23/1975,689.272417
6/24/1975,674.4182295
6/25/1975,659.564042
6/26/1975,625.3994108
6/27/1975,577.8660109
6/28/1975,555.5847297
6/29/1975,579.3514296
6/30/1975,577.8660109
7/1/1975,571.9243359
7/2/1975,603.1181296
7/3/1975,736.8058169
7/4/1975,671.447392
7/5/1975,595.6910359
7/6/1975,527.3617735
7/7/1975,545.1867984
7/8/1975,585.2931046
7/9/1975,665.505717
7/10/1975,695.214092
7/11/1975,803.6496605
7/12/1975,834.8434542
7/13/1975,971.501979
7/14/1975,1654.794603
7/15/1975,3392.734538
7/16/1975,4165.152287
7/17/1975,4818.736536
7/18/1975,5546.591722
7/19/1975,6497.259721
7/20/1975,7655.886344
7/21/1975,9631.493279
7/22/1975,11785.35046
7/23/1975,14563.08352
7/24/1975,16746.64908
7/25/1975,19123.31908
7/26/1975,21202.90532
7/27/1975,22985.40782
7/28/1975,23133.9497
7/29/1975,21945.6147
7/30/1975,19866.02845
7/31/1975,15409.77221
8/1/1975,10582.16128
8/2/1975,6244.738534
8/3/1975,3214.484288
8/4/1975,2130.128602
8/5/1975,1758.773915
8/6/1975,1580.523666
8/7/1975,1506.252728
8/8/1975,1684.502978
8/9/1975,1625.086228
8/10/1975,1729.06554
8/11/1975,1684.502978
8/12/1975,1625.086228
8/13/1975,1535.961103
8/14/1975,1350.28376
8/15/1975,1198.771047
8/16/1975,1105.189666
8/17/1975,1029.43331
8/18/1975,1215.110654
8/19/1975,1004.181191
8/20/1975,987.8415853
8/21/1975,983.385329
8/22/1975,883.8622729
8/23/1975,834.8434542
8/24/1975,818.503848
8/25/1975,833.3580355
8/26/1975,891.2893667
8/27/1975,846.7268042
8/28/1975,920.9977416
8/29/1975,926.9394166
8/30/1975,800.678823
8/31/1975,748.6891669
9/1/1975,825.9309418
9/2/1975,1565.669478
9/3/1975,1476.544353
9/4/1975,1684.502978
9/5/1975,1743.919728
9/6/1975,1390.390066
9/7/1975,1140.839716
9/8/1975,1033.889566
9/9/1975,934.3665104
9/10/1975,922.4831604
9/11/1975,992.2978415
9/12/1975,968.5311416
9/13/1975,1019.035379
9/14/1975,1093.306316
9/15/1975,987.8415853
9/16/1975,967.0457228
9/17/1975,1172.03351
9/18/1975,1231.45026
9/19/1975,1329.487897
9/20/1975,1654.794603
9/21/1975,1550.815291
9/22/1975,1411.185928
9/23/1975,1714.211353
9/24/1975,3303.609413
9/25/1975,4595.923724
9/26/1975,5962.508972
9/27/1975,6824.051845
9/28/1975,7641.032157
9/29/1975,8279.762218
9/30/1975,8903.638092
10/1/1975,9349.263717
10/2/1975,9631.493279
10/3/1975,9705.764216
10/4/1975,9616.639091
10/5/1975,9274.992779
10/6/1975,6987.447908
10/7/1975,3942.339475
10/8/1975,2442.066539
10/9/1975,2011.295103
10/10/1975,1907.31579
10/11/1975,1996.440915
10/12/1975,2219.253727
10/13/1975,2338.087227
10/14/1975,2234.107915
10/15/1975,2041.003477
10/16/1975,1803.336478
10/17/1975,1625.086228
10/18/1975,1669.648791
10/19/1975,1788.48229
10/20/1975,1714.211353
10/21/1975,1847.89904
10/22/1975,1847.89904
10/23/1975,1714.211353
10/24/1975,1580.523666
10/25/1975,1443.865141
10/26/1975,1353.254597
10/27/1975,1371.079622
10/28/1975,1329.487897
10/29/1975,1234.421097
10/30/1975,1175.004347
10/31/1975,1131.927204
11/1/1975,1081.422966
11/2/1975,1047.258335
11/3/1975,1027.947891
11/4/1975,1010.122866
11/5/1975,993.7832603
11/6/1975,981.8999103
11/7/1975,978.9290728
11/8/1975,975.9582353
11/9/1975,964.0748853
11/10/1975,961.1040478
11/11/1975,947.7352791
11/12/1975,949.2206978
11/13/1975,980.4144915
11/14/1975,1088.85006
11/15/1975,1377.021297
11/16/1975,2917.400539
11/17/1975,3838.360162
11/18/1975,4358.256724
11/19/1975,4224.569037
11/20/1975,3036.234038
11/21/1975,2219.253727
11/22/1975,1818.190665
11/23/1975,1669.648791
11/24/1975,1818.190665
11/25/1975,2041.003477
11/26/1975,2278.670477
11/27/1975,2754.004476
11/28/1975,2872.837976
11/29/1975,2754.004476
11/30/1975,2516.337477
12/1/1975,2248.962102
12/2/1975,2041.003477
12/3/1975,1951.878353
12/4/1975,1937.024165
12/5/1975,1996.440915
12/6/1975,1951.878353
12/7/1975,1862.753228
12/8/1975,1862.753228
12/9/1975,2144.98279
12/10/1975,2560.900039
12/11/1975,3363.026163
12/12/1975,3986.902037
12/13/1975,4313.694162
12/14/1975,4313.694162
12/15/1975,3912.6311
12/16/1975,3333.317788
12/17/1975,2917.400539
12/18/1975,3006.525664
12/19/1975,3214.484288
12/20/1975,3452.151288
12/21/1975,3868.068537
12/22/1975,4061.172974
12/23/1975,3942.339475
12/24/1975,3615.54735
12/25/1975,3244.192663
12/26/1975,3110.504976
12/27/1975,3333.317788
12/28/1975,3704.672475
12/29/1975,4402.819286
12/30/1975,5531.737535
12/31/1975,6928.031158
1/1/1976,7863.844969
1/2/1976,8532.283405
1/3/1976,8784.804592
1/4/1976,8710.533655
1/5/1976,8591.700155
1/6/1976,8576.845968
1/7/1976,8651.116905
1/8/1976,8859.07553
1/9/1976,8799.65878
1/10/1976,8220.345468
1/11/1976,7447.927719
1/12/1976,7165.698157
1/13/1976,7254.823282
1/14/1976,7358.802595
1/15/1976,7076.573032
1/16/1976,6259.592721
1/17/1976,5383.19566
1/18/1976,4789.028161
1/19/1976,4417.673474
1/20/1976,4150.298099
1/21/1976,3868.068537
1/22/1976,3585.838975
1/23/1976,3333.317788
1/24/1976,3169.921726
1/25/1976,3006.525664
1/26/1976,2917.400539
1/27/1976,4283.985787
1/28/1976,6274.446909
1/29/1976,8963.054842
1/30/1976,10106.82728
1/31/1976,11012.93271
2/1/1976,11800.20465
2/2/1976,13122.22734
2/3/1976,14043.18696
2/4/1976,14592.7919
2/5/1976,14726.47958
2/6/1976,14771.04215
2/7/1976,14815.60471
2/8/1976,14815.60471
2/9/1976,14652.20865
2/10/1976,14221.43721
2/11/1976,13374.74852
2/12/1976,12037.87165
2/13/1976,10062.26472
2/14/1976,7150.84397
2/15/1976,5561.44591
2/16/1976,4789.028161
2/17/1976,4194.860662
2/18/1976,3868.068537
2/19/1976,3674.9641
2/20/1976,3526.422225
2/21/1976,3377.88035
2/22/1976,3273.901038
2/23/1976,3244.192663
2/24/1976,3184.775913
2/25/1976,3140.213351
2/26/1976,3155.067538
2/27/1976,3080.796601
2/28/1976,2961.963101
2/29/1976,2813.421226
3/1/1976,2679.733539
3/2/1976,2575.754227
3/3/1976,2471.774914
3/4/1976,2382.649789
3/5/1976,2323.23304
3/6/1976,2352.941414
3/7/1976,2605.462602
3/8/1976,2739.150289
3/9/1976,2798.567039
3/10/1976,2976.817289
3/11/1976,2932.254726
3/12/1976,2976.817289
3/13/1976,3348.171976
3/14/1976,3674.9641
3/15/1976,3526.422225
3/16/1976,3377.88035
3/17/1976,3377.88035
3/18/1976,3674.9641
3/19/1976,4417.673474
3/20/1976,4952.424223
3/21/1976,5457.466597
3/22/1976,5368.341473
3/23/1976,5086.11191
3/24/1976,4283.985787
3/25/1976,3214.484288
3/26/1976,2857.983789
3/27/1976,2635.170977
3/28/1976,2516.337477
3/29/1976,2442.066539
3/30/1976,2382.649789
3/31/1976,2456.920727
4/1/1976,2739.150289
4/2/1976,3051.088226
4/3/1976,3452.151288
4/4/1976,3764.089225
4/5/1976,3912.6311
4/6/1976,3808.651787
4/7/1976,3363.026163
4/8/1976,2813.421226
4/9/1976,2442.066539
4/10/1976,2234.107915
4/11/1976,2055.857665
4/12/1976,1937.024165
4/13/1976,1847.89904
4/14/1976,1773.628103
4/15/1976,1699.357165
4/16/1976,1625.086228
4/17/1976,1565.669478
4/18/1976,1521.106916
4/19/1976,1476.544353
4/20/1976,1440.894303
4/21/1976,1384.448391
4/22/1976,1313.148291
4/23/1976,1265.614891
4/24/1976,1224.023166
4/25/1976,1177.975185
4/26/1976,1155.693904
4/27/1976,1130.441785
4/28/1976,1059.141685
4/29/1976,1011.608285
4/30/1976,992.2978415
5/1/1976,1010.122866
5/2/1976,1139.354298
5/3/1976,1374.05046
5/4/1976,1580.523666
5/5/1976,1847.89904
5/6/1976,1877.607415
5/7/1976,1788.48229
5/8/1976,1669.648791
5/9/1976,1699.357165
5/10/1976,1877.607415
5/11/1976,2041.003477
5/12/1976,2144.98279
5/13/1976,2085.56604
5/14/1976,2144.98279
5/15/1976,2085.56604
5/16/1976,2026.14929
5/17/1976,2130.128602
5/18/1976,3184.775913
5/19/1976,3882.922725
5/20/1976,4209.714849
5/21/1976,3897.776912
5/22/1976,2932.254726
5/23/1976,2293.524665
5/24/1976,1743.919728
5/25/1976,1461.690166
5/26/1976,1278.98366
5/27/1976,1158.664741
5/28/1976,1044.287498
5/29/1976,1007.152029
5/30/1976,955.1623728
5/31/1976,871.9789229
6/1/1976,840.7851292
6/2/1976,1521.106916
6/3/1976,2308.378852
6/4/1976,3303.609413
6/5/1976,3615.54735
6/6/1976,3570.984788
6/7/1976,3734.38085
6/8/1976,3719.526662
6/9/1976,2917.400539
6/10/1976,2234.107915
6/11/1976,1699.357165
6/12/1976,1387.419228
6/13/1976,1180.946022
6/14/1976,1044.287498
6/15/1976,944.7644416
6/16/1976,1013.093704
6/17/1976,1054.685429
6/18/1976,993.7832603
6/19/1976,1002.695773
6/20/1976,1063.597941
6/21/1976,1729.06554
6/22/1976,2263.81629
6/23/1976,2590.608414
6/24/1976,2768.858664
6/25/1976,2635.170977
6/26/1976,2456.920727
6/27/1976,2011.295103
6/28/1976,1610.232041
6/29/1976,1446.835978
6/30/1976,1803.336478
7/1/1976,2248.962102
7/2/1976,3214.484288
7/3/1976,2902.546351
7/4/1976,2219.253727
7/5/1976,1833.044853
7/6/1976,1461.690166
7/7/1976,1267.10031
7/8/1976,1335.429572
7/9/1976,1289.381591
7/10/1976,1163.120998
7/11/1976,1108.160504
7/12/1976,1068.054198
7/13/1976,1415.642185
7/14/1976,1265.614891
7/15/1976,932.8810916
7/16/1976,778.3975418
7/17/1976,693.7286732
7/18/1976,632.8265045
7/19/1976,603.1181296
7/20/1976,568.9534984
7/21/1976,540.7305422
7/22/1976,513.9930047
7/23/1976,534.7888672
7/24/1976,542.2159609
7/25/1976,760.5725169
7/26/1976,1393.360903
7/27/1976,1262.644054
7/28/1976,836.328873
7/29/1976,692.2432545
7/30/1976,598.6618733
7/31/1976,512.507586
8/1/1976,494.682561
8/2/1976,493.1971423
8/3/1976,472.4012798
8/4/1976,490.2263048
8/5/1976,497.6533985
8/6/1976,509.5367485
8/7/1976,631.3410858
8/8/1976,589.7493609
8/9/1976,748.6891669
8/10/1976,788.7954731
8/11/1976,595.6910359
8/12/1976,537.7597047
8/13/1976,540.7305422
8/14/1976,487.2554673
8/15/1976,445.6637423
8/16/1976,415.9553674
8/17/1976,395.1595049
8/18/1976,381.7907362
8/19/1976,366.9365487
8/20/1976,404.0720174
8/21/1976,573.4097546
8/22/1976,1256.702379
8/23/1976,1179.460604
8/24/1976,770.9704481
8/25/1976,619.4577358
8/26/1976,580.8368484
8/27/1976,542.2159609
8/28/1976,499.1388172
8/29/1976,463.4887673
8/30/1976,430.8095548
8/31/1976,417.4407861
9/1/1976,387.7324112
9/2/1976,390.7032487
9/3/1976,375.8490612
9/4/1976,377.3344799
9/5/1976,371.3928049
9/6/1976,352.0823612
9/7/1976,346.1406862
9/8/1976,355.0531987
9/9/1976,337.2281737
9/10/1976,328.3156613
9/11/1976,329.80108
9/12/1976,334.2573362
9/13/1976,322.3739863
9/14/1976,363.9657112
9/15/1976,637.2827608
9/16/1976,825.9309418
9/17/1976,977.443654
9/18/1976,1320.575385
9/19/1976,1684.502978
9/20/1976,1506.252728
9/21/1976,1302.75036
9/22/1976,1120.043854
9/23/1976,876.4351792
9/24/1976,707.0974419
9/25/1976,613.5160608
9/26/1976,560.0409859
9/27/1976,521.4200985
9/28/1976,487.2554673
9/29/1976,460.5179298
9/30/1976,454.5762548
10/1/1976,478.3429548
10/2/1976,487.2554673
10/3/1976,476.857536
10/4/1976,459.0325111
10/5/1976,445.6637423
10/6/1976,442.6929048
10/7/1976,429.3241361
10/8/1976,412.9845299
10/9/1976,441.2074861
10/10/1976,509.5367485
10/11/1976,511.0221672
10/12/1976,518.449261
10/13/1976,855.6393167
10/14/1976,849.6976417
10/15/1976,708.5828607
10/16/1976,629.8556671
10/17/1976,580.8368484
10/18/1976,567.4680796
10/19/1976,567.4680796
10/20/1976,539.2451234
10/21/1976,554.0993109
10/22/1976,638.7681795
10/23/1976,1173.518929
10/24/1976,2412.358164
10/25/1976,2798.567039
10/26/1976,2308.378852
10/27/1976,1803.336478
10/28/1976,1434.952628
10/29/1976,1238.877354
10/30/1976,1191.343954
10/31/1976,1124.50011
11/1/1976,1039.831241
11/2/1976,962.5894666
11/3/1976,920.9977416
11/4/1976,956.6477916
11/5/1976,952.1915353
11/6/1976,904.6581354
11/7/1976,858.6101542
11/8/1976,827.4163605
11/9/1976,806.620498
11/10/1976,785.8246356
11/11/1976,769.4850293
11/12/1976,754.6308419
11/13/1976,775.4267043
11/14/1976,806.620498
11/15/1976,956.6477916
11/16/1976,1595.377853
11/17/1976,1773.628103
11/18/1976,1639.940416
11/19/1976,1877.607415
11/20/1976,1907.31579
11/21/1976,1773.628103
11/22/1976,1565.669478
11/23/1976,1405.244253
11/24/1976,1274.527404
11/25/1976,1179.460604
11/26/1976,1128.956366
11/27/1976,1108.160504
11/28/1976,1124.50011
11/29/1976,1203.227304
11/30/1976,1286.410754
12/1/1976,1310.177454
12/2/1976,1565.669478
12/3/1976,1937.024165
12/4/1976,2055.857665
12/5/1976,1981.586728
12/6/1976,1773.628103
12/7/1976,1639.940416
12/8/1976,1714.211353
12/9/1976,1833.044853
12/10/1976,2664.879352
12/11/1976,3660.109913
12/12/1976,4402.819286
